"total_count","id","memb_id","device_desc","fullname","get_time","meter","start_date","end_date","create_dttm"
9484,188966,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-06 16:30:00",1086.1,"2025-03-06 16:15:00","2025-03-06 16:30:00","2025-03-06 16:45:14"
9484,188962,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-06 05:47:00",771.2,"2025-03-06 05:35:00","2025-03-06 05:47:00","2025-03-06 05:52:20"
9484,188898,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-05 16:47:00",1126.4,"2025-03-05 16:30:00","2025-03-05 16:47:00","2025-03-05 16:58:31"
9484,188897,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-05 05:43:00",870.7,"2025-03-05 05:30:00","2025-03-05 05:43:00","2025-03-05 06:00:21"
9484,188885,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-04 16:37:00",1229.6,"2025-03-04 16:16:00","2025-03-04 16:37:00","2025-03-04 16:50:19"
9484,188884,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-04 03:07:00",1106.1,"2025-03-04 02:53:00","2025-03-04 03:07:00","2025-03-04 03:12:54"
9484,188882,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-03 19:57:00",1122.5,"2025-03-03 19:38:00","2025-03-03 19:57:00","2025-03-03 20:05:25"
9484,188853,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-03 06:01:00",792.6,"2025-03-03 05:49:00","2025-03-03 06:01:00","2025-03-03 06:06:17"
9484,188708,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-03 00:45:00",995.6,"2025-03-03 00:32:00","2025-03-03 00:45:00","2025-03-03 00:49:01"
9484,188707,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-02 18:26:00",844.5,"2025-03-02 18:12:00","2025-03-02 18:26:00","2025-03-02 21:14:47"
9484,188706,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-02 04:08:00",1576.0,"2025-03-02 03:43:00","2025-03-02 04:08:00","2025-03-02 04:12:35"
9484,188705,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-03-02 00:54:00",742.6,"2025-03-02 00:42:00","2025-03-02 00:54:00","2025-03-02 01:04:43"
